Root Outlet Velocities,,
,Cw3_r,C3_r
0,40.42322216,231.0633828
1,110.1819517,252.7771993
2,102.1474595,249.379938
3,102.1474595,249.379938
4,102.1474595,249.379938
5,102.1474595,249.379938
6,115.1283855,254.9721458
7,0,227.5
